"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 0.233796296296296 0.238875878220141 0.224586288416076 0.251781472684086 0.243436754176611 0.232613908872902 0.23728813559322 0.23960880195599 0.247549019607843 0.234567901234568
"2" 0.757142857142857 0.8 0.785714285714286 0.739130434782609 0.826086956521739 0.753623188405797 0.797101449275362 0.779411764705882 0.720588235294118 0.764705882352941
"3" 0.555555555555556 0.555555555555556 0.666666666666667 0.5625 0.6875 0.625 0.6 0.6 0.714285714285714 0.692307692307692
"4" 0.904761904761905 0.904761904761905 0.904761904761905 0.920634920634921 0.904761904761905 0.904761904761905 0.920634920634921 0.904761904761905 0.901639344262295 0.916666666666667
"5" 0.655172413793103 0.785714285714286 0.75 0.75 0.714285714285714 0.678571428571429 0.666666666666667 0.814814814814815 0.814814814814815 0.814814814814815
"6" 0.514285714285714 0.628571428571429 0.514285714285714 0.571428571428571 0.542857142857143 0.558823529411765 0.558823529411765 0.617647058823529 0.617647058823529 0.5
"7" 0.85632183908046 0.867816091954023 0.867816091954023 0.867816091954023 0.872832369942196 0.86046511627907 0.86046511627907 0.883720930232558 0.854651162790698 0.871345029239766
"8" 0.5625 0.5625 0.59375 0.67741935483871 0.566666666666667 0.607142857142857 0.464285714285714 0.464285714285714 0.464285714285714 0.5
"9" 0.772727272727273 0.772727272727273 0.757575757575758 0.787878787878788 0.787878787878788 0.787878787878788 0.8 0.78125 0.765625 0.734375
"10" 0.815789473684211 0.805555555555556 0.861111111111111 0.888888888888889 0.833333333333333 0.861111111111111 0.777777777777778 0.861111111111111 0.794117647058823 0.823529411764706
"11" 0.73 0.73 0.74 0.76 0.74 0.77 0.8 0.77 0.78 0.72
"12" 0.260869565217391 0.347826086956522 0.391304347826087 0.409090909090909 0.454545454545455 0.363636363636364 0.333333333333333 0.5 0.5 0.388888888888889
"13" 0.611111111111111 0.764705882352941 0.823529411764706 0.941176470588235 0.75 0.666666666666667 0.8 0.733333333333333 0.733333333333333 0.733333333333333
"14" 0.888888888888889 0.851851851851852 0.814814814814815 0.888888888888889 0.777777777777778 0.777777777777778 0.814814814814815 0.851851851851852 1 0.777777777777778
"15" 0.888888888888889 0.888888888888889 0.916666666666667 0.888888888888889 0.861111111111111 0.942857142857143 0.911764705882353 0.882352941176471 0.941176470588235 0.882352941176471
"16" 0.882978723404255 0.526315789473684 0.526315789473684 0.432432432432432 0.567567567567568 0.540540540540541 0.571428571428571 0.580645161290323 0.6 0.586206896551724
"17" 0.630723781388479 0.639800995024876 0.644743398106627 0.6395 0.634634634634635 0.642964446670005 0.653614457831325 0.648417880462079 0.654929577464789 0.651057401812689
"18" 0.722222222222222 0.875 1 0.8 0.785714285714286 0.857142857142857 0.928571428571429 0.714285714285714 0.785714285714286 0.857142857142857
"19" 0.953982300884956 0.952212389380531 0.955752212389381 0.955752212389381 0.952212389380531 0.948672566371681 0.955673758865248 0.959219858156028 0.950266429840142 0.950266429840142
"20" 0.800705467372134 0.821554770318021 0.828014184397163 0.854609929078014 0.829181494661922 0.839857651245552 0.848484848484849 0.839285714285714 0.838420107719928 0.833034111310592
"21" 0.775541795665635 0.767801857585139 0.787925696594427 0.788819875776398 0.809006211180124 0.791925465838509 0.80248833592535 0.809968847352025 0.81875 0.8125
"22" 0.63508064516129 0.698030634573304 0.736842105263158 0.692982456140351 0.710526315789474 0.714912280701754 0.76043956043956 0.718681318681319 0.723076923076923 0.725274725274725
"23" 0.946875 0.95625 0.946875 0.940625 0.9625 0.959247648902821 0.962382445141066 0.971698113207547 0.971608832807571 0.958990536277603
"24" 0.649484536082474 0.618556701030928 0.75 0.708333333333333 0.697916666666667 0.729166666666667 0.652631578947368 0.652631578947368 0.715789473684211 0.757894736842105
"25" 0.430232558139535 0.441860465116279 0.447058823529412 0.470588235294118 0.505882352941176 0.458823529411765 0.505882352941176 0.476190476190476 0.506024096385542 0.402439024390244
"26" 0.636363636363636 0.656565656565657 0.636363636363636 0.656565656565657 0.626262626262626 0.575757575757576 0.777777777777778 0.767676767676768 0.777777777777778 0.717171717171717
"27" 0.947368421052632 1 0.944444444444444 1 1 0.944444444444444 1 0.944444444444444 0.941176470588235 1
"28" 0.363636363636364 0.289473684210526 0.311258278145695 0.293333333333333 0.290540540540541 0.26027397260274 0.267123287671233 0.315068493150685 0.301369863013699 0.275862068965517
"29" 1 1 1 0.818181818181818 0.9 1 1 1 1 0.875
