"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0.247685185185185,0.302107728337237,0.250591016548463,0.294536817102138,0.269689737470167,0.270983213429257,0.292978208232446,0.210268948655257,0.267156862745098,0.249382716049383
"2",0.785714285714286,0.885714285714286,0.871428571428571,0.840579710144927,0.898550724637681,0.91304347826087,0.884057971014493,0.911764705882353,0.852941176470588,0.838235294117647
"3",0.833333333333333,0.833333333333333,0.944444444444444,0.8125,0.9375,0.9375,1,0.933333333333333,0.928571428571429,0.846153846153846
"4",0.857142857142857,0.904761904761905,0.841269841269841,0.920634920634921,0.857142857142857,0.80952380952381,0.777777777777778,0.80952380952381,0.80327868852459,0.833333333333333
"5",0.724137931034483,0.678571428571429,0.678571428571429,0.821428571428571,0.821428571428571,0.678571428571429,0.62962962962963,0.814814814814815,0.666666666666667,0.62962962962963
"6",0.742857142857143,0.771428571428571,0.771428571428571,0.828571428571429,0.771428571428571,0.823529411764706,0.764705882352941,0.735294117647059,0.764705882352941,0.676470588235294
"7",0.977011494252874,0.971264367816092,0.96551724137931,0.977011494252874,0.988439306358382,0.988372093023256,0.988372093023256,0.988372093023256,0.970930232558139,0.976608187134503
"8",0.5625,0.5625,0.59375,0.580645161290323,0.533333333333333,0.535714285714286,0.571428571428571,0.642857142857143,0.607142857142857,0.571428571428571
"9",0.848484848484849,0.863636363636364,0.924242424242424,0.924242424242424,0.954545454545455,0.878787878787879,0.830769230769231,0.8125,0.859375,0.875
"10",1,0.944444444444444,0.972222222222222,0.972222222222222,1,0.972222222222222,1,0.972222222222222,1,0.970588235294118
"11",0.81,0.74,0.73,0.75,0.79,0.79,0.79,0.74,0.83,0.77
"12",0.91304347826087,0.739130434782609,0.826086956521739,0.909090909090909,0.636363636363636,0.863636363636364,0.761904761904762,0.75,0.85,0.833333333333333
"13",0.777777777777778,0.705882352941177,0.823529411764706,1,0.875,0.8,0.866666666666667,0.733333333333333,0.8,0.666666666666667
"14",0.888888888888889,0.777777777777778,0.851851851851852,0.851851851851852,0.814814814814815,0.888888888888889,0.888888888888889,0.814814814814815,0.925925925925926,0.703703703703704
"15",0.944444444444444,0.944444444444444,0.944444444444444,0.944444444444444,0.888888888888889,0.942857142857143,0.911764705882353,0.911764705882353,0.970588235294118,0.941176470588235
"16",0.728723404255319,0.526315789473684,0.578947368421053,0.540540540540541,0.594594594594595,0.594594594594595,0.571428571428571,0.612903225806452,0.6,0.586206896551724
"17",0.959133431806992,0.973134328358209,0.97259591429995,0.972,0.974474474474474,0.970956434651978,0.971887550200803,0.972877950778503,0.966297786720322,0.964753272910373
"18",0.666666666666667,0.875,0.933333333333333,0.8,0.857142857142857,0.857142857142857,0.928571428571429,0.928571428571429,0.857142857142857,0.785714285714286
"19",1,1,1,1,1,1,1,1,1,1
"20",0.970017636684303,0.987632508833922,0.98936170212766,0.985815602836879,0.983985765124555,0.980427046263345,0.987522281639929,0.989285714285714,0.985637342908438,0.991023339317774
"21",0.89938080495356,0.921052631578947,0.910216718266254,0.920807453416149,0.923913043478261,0.923913043478261,0.936236391912908,0.928348909657321,0.925,0.9421875
"22",0.969758064516129,0.938730853391685,0.956140350877193,0.942982456140351,0.951754385964912,0.962719298245614,0.958241758241758,0.938461538461538,0.964835164835165,0.96043956043956
"23",0.96875,0.975,0.965625,0.953125,0.96875,0.968652037617555,0.974921630094044,0.971698113207547,0.984227129337539,0.971608832807571
"24",0.979381443298969,1,0.989583333333333,0.989583333333333,0.989583333333333,0.979166666666667,1,1,0.989473684210526,1
"25",0.732558139534884,0.767441860465116,0.741176470588235,0.764705882352941,0.764705882352941,0.811764705882353,0.741176470588235,0.80952380952381,0.734939759036145,0.695121951219512
"26",0.98989898989899,0.98989898989899,0.98989898989899,0.97979797979798,0.98989898989899,0.95959595959596,0.96969696969697,0.98989898989899,0.97979797979798,0.939393939393939
"27",0.947368421052632,1,1,1,0.944444444444444,1,1,1,0.941176470588235,1
"28",0.668831168831169,0.690789473684211,0.642384105960265,0.613333333333333,0.628378378378378,0.602739726027397,0.705479452054795,0.678082191780822,0.684931506849315,0.572413793103448
"29",1,1,1,0.909090909090909,0.9,1,1,1,1,0.875
